ANO,MES,DIA,HORA,TEMP
2013,ENERO,20,12,15
2013,ENERO,20,13,17
2013,ENERO,20,14,18
2013,ENERO,20,15,20
2013,ENERO,20,16,21
2013,ENERO,20,17,22
2013,ENERO,20,18,23
2013,ENERO,20,19,26
2013,ENERO,20,20,24
2013,ENERO,20,21,22
2013,ENERO,20,22,21
2013,ENERO,20,23,20
2013,ENERO,21,12,14
2013,ENERO,21,13,18
2013,ENERO,21,14,19
2013,ENERO,21,15,22
2013,ENERO,21,16,22
2013,ENERO,21,17,24
2013,ENERO,21,18,27
2013,ENERO,21,20,25
2013,ENERO,21,21,24
2013,ENERO,21,23,20
2013,ENERO,22,11,16
2013,ENERO,22,12,17
2013,ENERO,22,13,18
2013,ENERO,22,14,20
2013,ENERO,22,15,21
2013,ENERO,22,16,21
2013,ENERO,22,19,24
2013,ENERO,22,20,24
2013,ENERO,22,21,24
2013,ENERO,22,22,23
2013,ENERO,22,23,20
2013,ENERO,23,11,15
2013,ENERO,23,12,15
2013,ENERO,23,13,18
2013,ENERO,23,14,20
2013,ENERO,23,15,21
2013,ENERO,23,16,22
2013,ENERO,23,17,24
2013,ENERO,23,18,24
2013,ENERO,23,19,22
2013,ENERO,23,20,23
2013,ENERO,23,21,22
2013,ENERO,23,22,22
2013,ENERO,23,23,20
2013,ENERO,24,11,16
2013,ENERO,24,12,16
2013,ENERO,24,13,18
2013,ENERO,24,14,19
2013,ENERO,24,15,20
2013,ENERO,24,17,21
2013,ENERO,24,18,24
2013,ENERO,24,19,23
2013,ENERO,24,20,21
2013,ENERO,24,21,19
2013,ENERO,24,22,17
2013,ENERO,24,23,17
2013,ENERO,25,12,15
2013,ENERO,25,13,16
2013,ENERO,25,14,17
2013,ENERO,25,15,19
2013,ENERO,25,16,20
2013,ENERO,25,17,21
2013,ENERO,25,19,24
2013,ENERO,25,20,24
2013,ENERO,25,21,24
2013,ENERO,25,22,22
2013,ENERO,25,23,20
2013,ENERO,26,11,16
2013,ENERO,26,12,16
2013,ENERO,26,13,17
2013,ENERO,26,14,18
2013,ENERO,26,15,20
2013,ENERO,26,15,22
2013,ENERO,26,17,23
2013,ENERO,26,18,23
2013,ENERO,26,19,25
2013,ENERO,26,20,25
2013,ENERO,26,21,24
2013,ENERO,26,22,23
2013,ENERO,26,23,20
2013,ENERO,27,11,15
2013,ENERO,27,12,15
2013,ENERO,27,13,18
2013,ENERO,27,14,20
2013,ENERO,27,15,20
2013,ENERO,27,16,22
2013,ENERO,27,17,23
2013,ENERO,27,18,25
2013,ENERO,27,19,24
2013,ENERO,27,21,24
2013,ENERO,27,22,21
2013,ENERO,27,23,19
2013,ENERO,28,11,15
2013,ENERO,28,12,16
2013,ENERO,28,13,16
2013,ENERO,28,14,17
2013,ENERO,28,15,19
2013,ENERO,28,17,23
2013,ENERO,28,18,25
2013,ENERO,28,19,27
2013,ENERO,28,20,25
2013,ENERO,28,21,24
2013,ENERO,28,22,22
2013,ENERO,28,23,20
2013,ENERO,29,11,17
2013,ENERO,29,12,17
2013,ENERO,29,13,20
2013,ENERO,29,14,22
2013,ENERO,29,15,23
2013,ENERO,29,16,23
2013,ENERO,29,17,25
2013,ENERO,29,18,25
2013,ENERO,29,19,25
2013,ENERO,29,20,25
2013,ENERO,29,21,24
2013,ENERO,29,22,23
2013,ENERO,29,23,20
2013,ENERO,30,11,15
2013,ENERO,30,12,16
2013,ENERO,30,13,17
2013,ENERO,30,14,20
2013,ENERO,30,15,19
2013,ENERO,30,16,19
2013,ENERO,30,17,20
2013,ENERO,30,18,20
2013,ENERO,30,19,20
2013,ENERO,30,20,21
2013,ENERO,30,21,21
2013,ENERO,30,22,21
2013,ENERO,30,23,19
2013,ENERO,31,11,15
2013,ENERO,31,12,15
2013,ENERO,31,13,17
2013,ENERO,31,14,18
2013,ENERO,31,15,19
2013,ENERO,31,16,20
2013,ENERO,31,17,22
2013,ENERO,31,18,23
2013,ENERO,31,19,26
2013,ENERO,31,20,25
2013,ENERO,31,21,24
2013,ENERO,31,22,22
2013,ENERO,31,23,20
2013,MARZO,1,11,16
2013,MARZO,1,12,16
2013,MARZO,1,13,17
2013,MARZO,1,14,19
2013,MARZO,1,15,18
2013,MARZO,1,15,18
2013,MARZO,1,16,20
2013,MARZO,1,17,21
2013,MARZO,1,18,21
2013,MARZO,1,19,22
2013,MARZO,1,20,21
2013,MARZO,1,21,21
2013,MARZO,1,22,20
2013,MARZO,2,11,16
2013,MARZO,2,12,16
2013,MARZO,2,13,17
2013,MARZO,2,14,20
2013,MARZO,2,15,20
2013,MARZO,2,16,21
2013,MARZO,2,17,22
2013,MARZO,2,18,23
2013,MARZO,2,19,22
2013,MARZO,2,20,23
2013,MARZO,2,21,22
2013,MARZO,2,22,21
2013,MARZO,3,11,16
2013,MARZO,3,12,16
2013,MARZO,3,13,17
2013,MARZO,3,14,19
2013,MARZO,3,15,19
2013,MARZO,3,16,19
2013,MARZO,3,17,20
2013,MARZO,3,18,22
2013,MARZO,3,19,21
2013,MARZO,3,20,21
2013,MARZO,3,21,22
2013,MARZO,3,22,21
2013,MARZO,3,23,20
2013,MARZO,4,1,18
2013,MARZO,4,2,18
2013,MARZO,4,11,17
2013,MARZO,4,12,18
2013,MARZO,4,14,19
2013,MARZO,4,15,22
2013,MARZO,4,16,22
2013,MARZO,4,17,25
2013,MARZO,4,18,26
2013,MARZO,4,19,24
2013,MARZO,4,20,24
2013,MARZO,4,21,24
2013,MARZO,4,22,23
2013,MARZO,4,23,22
2013,MARZO,5,24,20
2013,MARZO,5,1,20
2013,MARZO,5,13,17
2013,MARZO,5,14,18
2013,MARZO,5,15,20
2013,MARZO,5,16,22
2013,MARZO,5,17,23
2013,MARZO,5,18,24
2013,MARZO,5,19,25
2013,MARZO,5,20,26
2013,MARZO,5,21,26
2013,MARZO,5,22,25
2013,MARZO,5,23,23
2013,MARZO,6,24,19
2013,MARZO,6,1,17
2013,MARZO,6,3,22
2013,MARZO,6,11,15
2013,MARZO,6,12,15
2013,MARZO,6,13,16
2013,MARZO,6,15,20
2013,MARZO,6,16,21
2013,MARZO,6,17,22
2013,MARZO,6,19,24
2013,MARZO,6,20,24
2013,MARZO,6,21,23
2013,MARZO,6,22,21
2013,MARZO,6,23,20
2013,MARZO,7,24,18
2013,MARZO,7,1,18
2013,MARZO,7,11,16
2013,MARZO,7,12,16
2013,MARZO,7,13,17
2013,MARZO,7,14,18
2013,MARZO,7,15,20
2013,MARZO,7,16,21
2013,MARZO,7,18,22
2013,MARZO,7,19,22
2013,MARZO,7,20,23
2013,MARZO,7,21,24
2013,MARZO,7,22,22
2013,MARZO,7,23,21
2013,MARZO,8,11,18
2013,MARZO,8,12,18
2013,MARZO,8,13,18
2013,MARZO,8,14,19
2013,MARZO,8,15,20
2013,MARZO,8,16,22
2013,MARZO,8,18,24
2013,MARZO,8,20,24
2013,MARZO,8,21,24
2013,MARZO,8,22,24
2013,MARZO,8,23,24
2013,MARZO,9,11,16
2013,MARZO,9,12,17
2013,MARZO,9,13,17
2013,MARZO,9,14,19
2013,MARZO,9,15,18
2013,MARZO,9,16,18
2013,MARZO,9,17,20
2013,MARZO,9,18,20
2013,MARZO,9,18,20
2013,MARZO,9,19,21
2013,MARZO,9,20,21
2013,MARZO,9,21,20
2013,MARZO,9,23,20
2013,MARZO,10,11,15
2013,MARZO,10,12,15
2013,MARZO,10,14,19
2013,MARZO,10,15,19
2013,MARZO,10,16,22
2013,MARZO,10,17,26
2013,MARZO,10,18,25
2013,MARZO,10,20,24
2013,MARZO,10,21,23
2013,MARZO,10,22,22
2013,MARZO,10,23,20
2013,MARZO,11,11,15
2013,MARZO,11,14,22
2013,MARZO,11,16,24
2013,MARZO,11,17,N/A
2013,MARZO,11,18,25
2013,MARZO,11,19,24
2013,MARZO,11,20,24
2013,MARZO,11,21,24
2013,MARZO,11,22,22
2013,MARZO,11,23,21
2013,MARZO,12,11,15
2013,MARZO,12,12,18
2013,MARZO,12,13,17
2013,MARZO,12,14,18
2013,MARZO,12,15,19
2013,MARZO,12,16,20
2013,MARZO,12,17,20
2013,MARZO,12,18,20
2013,MARZO,12,19,21
2013,MARZO,12,20,20
2013,MARZO,12,21,20
2013,MARZO,12,22,23
2013,MARZO,12,23,20
2013,MARZO,13,11,15
2013,MARZO,13,12,15
2013,MARZO,13,13,17
2013,MARZO,13,14,17
2013,MARZO,13,15,19
2013,MARZO,13,16,20
2013,MARZO,13,17,22
2013,MARZO,13,18,24
2013,MARZO,13,19,23
2013,MARZO,13,20,22
2013,MARZO,13,21,21
2013,MARZO,13,22,22
2013,MARZO,13,23,20
2013,MARZO,14,11,16
2013,MARZO,14,12,16
2013,MARZO,14,14,17
2013,MARZO,14,15,19
2013,MARZO,14,16,21
2013,MARZO,14,17,22
2013,MARZO,14,18,23
2013,MARZO,14,19,22
2013,MARZO,14,20,22
2013,MARZO,14,21,23
2013,MARZO,14,22,22
2013,MARZO,14,23,19
2013,MARZO,15,11,17
2013,MARZO,15,12,16
2013,MARZO,15,13,17
2013,MARZO,15,14,17
2013,MARZO,15,15,19
2013,MARZO,15,16,21
2013,MARZO,15,17,21
2013,MARZO,15,18,23
2013,MARZO,15,20,20
2013,MARZO,15,21,20
2013,MARZO,15,22,20
2013,MARZO,15,23,18
2013,MARZO,16,11,15
2013,MARZO,16,12,15
2013,MARZO,16,13,17
2013,MARZO,16,14,19
2013,MARZO,16,15,20
2013,MARZO,16,16,21
2013,MARZO,16,18,23
2013,MARZO,16,19,24
2013,MARZO,16,20,24
2013,MARZO,16,21,23
2013,MARZO,16,22,21
2013,MARZO,16,23,20
2013,MARZO,17,11,16
2013,MARZO,17,12,15
2013,MARZO,17,13,17
2013,MARZO,17,14,18
2013,MARZO,17,15,20
2013,MARZO,17,16,21
2013,MARZO,17,17,21
2013,MARZO,17,18,22
2013,MARZO,17,19,24
2013,MARZO,17,20,24
2013,MARZO,17,21,23
2013,MARZO,17,22,20
2013,MARZO,17,23,18
2013,MARZO,18,11,15
2013,MARZO,18,12,15
2013,MARZO,18,13,16
2013,MARZO,18,14,17
2013,MARZO,18,15,19
2013,MARZO,18,16,19
2013,MARZO,18,17,19
2013,MARZO,18,18,20
