AMB_TEMP,CH4,CO,NMHC,NO,NO2,Nox,O3,PM10,PM2.5,RH,SO2,THC,UVB,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
21,1.9,0.31,0.08,2.9,9.6,12,42,36,14,53,1.7,2,4.8,89,89,2,1.9
21,1.9,0.3,0.08,2.5,9,12,44,32,12,51,2,2,3.9,81,80,2.4,1.7
21,1.9,0.32,0.08,2.3,10,12,44,35,11,53,2.3,2,2.4,87,63,1.7,1.5
20,1.9,0.32,0.1,2.3,11,14,40,36,11,56,1.8,2,1,94,98,1.8,1.6
18,1.9,0.31,0.11,1.7,10,12,37,33,16,62,1.4,2,0.2,95,86,1.5,1.8
17,1.9,0.54,0.18,2.1,23,25,22,36,14,67,4.8,2.1,0,86,92,1.3,1.2
16,1.9,0.52,0.17,2.1,24,26,20,35,17,70,2.9,2.1,0,93,96,1.4,1.2
15,2,0.55,0.18,1.9,26,28,16,39,17,72,3.2,2.1,0,114,104,1.4,1.3
15,2,0.66,0.23,1.9,32,34,9.9,28,24,75,3.2,2.2,0,108,118,1.1,1
14,2.1,0.94,0.33,11,38,50,3.2,33,23,78,6.6,2.4,0,135,112,1.1,0.7
14,2.1,0.98,0.37,13,37,50,2.4,32,25,80,5.2,2.5,0,164,152,0.7,0.6
13,2.2,0.89,0.36,14,38,52,2,42,14,82,9.2,2.5,0,129,115,0.8,0.7
13,2.2,0.91,0.37,17,36,53,1.7,41,18,83,9.1,2.5,0,137,133,0.6,0.7
13,2.1,0.79,0.31,12,34,46,1.7,47,17,84,10,2.4,0,149,147,0.7,0.6
12,2.1,0.65,0.26,6,29,35,2.1,42,25,85,4.7,2.4,0,125,122,0.6,0.6
12,2.2,0.6,0.26,6.6,24,30,2.1,42,21,86,4.5,2.4,0,111,124,0.6,0.8
11,2.2,0.55,0.27,6.5,23,29,2.2,41,21,87,6.1,2.4,0,130,137,0.5,0.6
11,2.2,0.58,0.3,9.7,22,31,1.9,41,16,87,5.5,2.5,0,132,129,0.7,0.6
11,2.2,0.78,0.35,19,22,41,1.8,30,21,88,4.9,2.6,0,147,147,0.6,0.5
12,2.2,1.12,0.46,32,24,56,3.1,31,24,87,4.5,2.7,0.3,147,135,0.7,0.6
14,2.2,1.15,0.46,27,31,58,8.5,42,36,80,11,2.7,1.1,139,141,0.9,0.7
17,2.1,0.72,0.26,13,28,42,22,58,38,68,13,2.3,2.6,150,296,0.8,0.4
19,2.2,0.96,0.38,7.4,30,37,44,67,46,61,6.4,2.6,4,296,285,1.3,1
21,2,0.63,0.2,5.1,22,27,50,70,45,55,4.4,2.2,4.6,291,281,1.1,0.4
21,2,0.57,0.18,4.4,22,27,53,68,46,60,5.2,2.2,4.5,299,288,1.5,0.6
21,2,0.61,0.17,4.4,24,28,52,65,48,67,7.8,2.2,3.6,296,312,1.3,0.6
20,2,0.55,0.16,3.7,20,24,58,73,51,70,6.4,2.1,2.2,295,293,1.7,0.8
20,2,0.62,0.2,3.4,25,29,53,90,59,72,6.1,2.2,1,301,311,0.9,0.5
19,2,0.7,0.21,3.2,31,34,40,91,53,76,6.1,2.2,0.2,314,317,0.6,0.4
18,2,0.84,0.32,2.7,40,43,26,78,49,80,4.9,2.3,0,358,63,0.5,0.3
16,2,1.2,0.44,5.9,47,53,9.5,75,49,85,4.6,2.5,0,77,118,0.7,0.6
15,2.1,1.15,0.36,12,44,55,3.5,77,53,86,4.3,2.5,0,93,72,0.6,0.5
15,2.1,1.01,0.35,7.1,42,49,2.8,87,63,86,4,2.5,0,137,107,0.8,0.5
14,2.2,1.11,0.37,13,39,52,1.9,84,65,88,5.3,2.5,0,113,128,0.7,0.8
15,2.2,1.48,0.51,21,46,66,1.7,89,56,89,6.5,2.7,0,122,142,0.8,1
14,2.2,1.35,0.5,16,45,61,1.6,89,44,89,4.3,2.7,0,153,156,0.8,0.7
14,2.1,1,0.35,7.9,35,43,2.5,74,33,88,3.8,2.5,0,141,153,0.9,0.8
14,2.1,0.74,0.27,4.4,28,32,3.9,58,28,88,2.7,2.4,0,131,124,1.1,1
14,2.1,0.57,0.19,2.8,24,27,5.3,37,20,87,3.8,2.3,0,124,137,0.8,1
14,2.1,0.48,0.19,1.2,20,21,7.9,37,16,87,3.2,2.3,0,157,170,0.6,0.8
