TA,TR,HR,WI
83,45,71,14
81,49,96,14
79,55,100,16
58,39,63,14
62,61,100,15
73,61,100,17
49,30,62,15
43,42,96,8
55,50,100,8
52,48,92,16
60,42,86,10
69,53,93,13
78,57,93,14
83,50,77,9
81,49,86,10
78,53,100,16
62,40,65,16
70,44,79,10
78,53,86,9
68,62,87,10
66,61,93,17
55,33,82,13
66,34,89,13
70,49,85,14
75,60,86,16
78,61,87,14
56,52,93,20
37,32,92,17
37,34,92,9
63,36,100,13
52,37,96,15
36,30,92,13
36,34,100,10
43,41,100,10
45,42,100,10
63,59,100,8
70,67,100,21
47,32,89,20
57,29,81,8
60,37,82,10
54,51,100,12
55,52,100,8
63,52,96,9
59,51,86,13
73,55,96,13
78,54,100,12
78,53,89,15
69,54,89,12
77,62,100,10
77,66,100,9
81,65,93,13
83,66,100,12
71,67,93,15
61,58,100,10
78,59,100,9
80,59,100,9
83,62,97,14
84,63,93,16
70,65,93,20
82,44,71,13
84,49,86,13
84,60,93,17
80,64,93,12
82,66,93,13
83,67,90,14
84,68,90,15
86,68,90,17
69,48,61,17
69,64,100,10
85,67,100,14
87,67,90,16
79,69,90,16
87,71,90,15
74,68,93,14
70,66,100,7
82,69,100,13
87,70,100,13
77,61,87,12
83,65,93,14
81,70,93,17
75,70,93,12
77,66,100,28
89,69,100,15
73,48,64,15
81,63,89,13
81,68,93,16
85,72,100,10
85,74,100,14
93,73,100,12
86,72,93,18
85,70,100,17
65,59,84,17
77,48,93,12
83,51,89,10
84,56,86,10
83,55,80,13
84,62,93,15
84,66,93,16
83,70,100,20
87,71,93,14
83,73,87,17
79,75,93,13
85,73,93,17
87,72,87,17
79,73,94,12
69,67,100,10
70,70,100,14
87,74,100,15
77,71,100,13
87,73,97,18
84,72,100,22
88,75,93,12
89,75,87,17
89,76,94,13
76,74,94,15
77,71,100,10
87,74,100,18
82,70,93,8
82,74,100,16
89,75,100,13
85,75,94,12
87,79,94,15
89,73,100,21
88,70,93,12
86,67,90,9
88,66,93,8
90,70,93,9
89,70,90,13
88,70,90,12
90,72,97,12
90,70,97,9
91,70,97,12
93,71,93,9
95,70,87,8
93,70,79,10
94,72,93,15
93,75,88,13
95,74,94,18
86,76,100,13
89,76,100,16
83,75,94,15
89,77,100,23
90,75,100,12
84,76,94,13
83,77,100,17
86,78,100,17
89,77,100,10
92,76,94,13
92,74,100,12
93,74,100,12
93,74,94,10
91,75,94,14
91,75,94,13
93,74,100,10
94,76,100,14
91,75,93,17
91,73,100,16
91,74,88,12
